MSV,classCode,subjectCode
17105643,CHE1057 2,CHE1057
17106080,CHE1057 2,CHE1057
17106930,CHE1077 TNH,CHE1077 TNH
17108016,CHE1057 2,CHE1057
17108016,CHE1081 1,CHE1081
17108445,MAT1101 6,MAT1101
17108468,CHE1080 5,CHE1080
17108599,PHI1002 8,PHI1002
17108599,POL1001 12,POL1001
18000000,CHE1075,CHE1075
18000003,BIO2045 1,BIO2045
18000003,BIO2203 4,BIO2203
18000003,BIO3098,BIO3098
18000006,PHY2306,PHY2306
18000006,PHY3167 1,PHY3167
18000012,MAT3539 2,MAT3539
18000025,BIO3252 1,BIO3252
18000038,MAT3533,MAT3533
18000038,MAT3539 2,MAT3539
18000061,EVS3244 2,EVS3244
18000061,EVS4073 2,EVS4073
18000061,PHI1002 3,PHI1002
18000061,PHY1103 12,PHY1103
18000071,CHE1081 6,CHE1081
18000071,MAT2403 3,MAT2403
18000071,PHI1002 3,PHI1002
18000093,PHI1002 10,PHI1002
18000164,MAT1090 1,MAT1090
18000164,MAT1192 2,MAT1192
18000174,PHY1108 3,PHY1108
18000174,PHY2304 1,PHY2304
18000176,PHY2302 4,PHY2302
18000176,PHY2304 7,PHY2304
18000176,PHY2306,PHY2306
18000229,CHE1079 2TNH,CHE1079 TNH
18000229,POL1001 2,POL1001
18000259,GEO3219,GEO3219
18000259,MAT1192 2,MAT1192
18000259,PHY1100 8,PHY1100
18000260,CHE3045,CHE3045
18000260,MAT1090 1,MAT1090
18000260,PHI1002 7,PHI1002
18000274,BIO2800 4CLCCNS,BIO2800 CLCCNS
18000274,BIO3301 1CLCCNS,BIO3301 CLCCNS
18000307,MAT2406,MAT2406
18000307,MAT3452 1,MAT3452
18000307,MAT3539 2,MAT3539
18000311,MAT3533,MAT3533
18000314,EVS3232,EVS3232
18000314,POL1001 2,POL1001
18000321,CHE1075,CHE1075
18000321,CHE1091 1,CHE1091
18000326,CHE2114,CHE2114
18000326,CHE3300 1,CHE3300
18000326,MAT1092 1,MAT1092
18000329,MAT2306 2,MAT2306
18000329,MAT3300 1,MAT3300
18000329,MAT3500 1,MAT3500
18000329,MAT3514 1,MAT3514
18000329,MAT3539 1,MAT3539
18000333,EVS4073 1,EVS4073
18000338,BIO2089 TNS,BIO2089 TNS
18000338,BIO2504 TNS,BIO2504 TNS
18000338,BIO3257 TNS,BIO3257 TNS
18000338,BIO3377 TNS,BIO3377 TNS
18000338,BIO3701 TNS,BIO3701 TNS
18000338,MAT1101 5,MAT1101
18000338,MAT1259 TNS,MAT1259 TNS
18000339,CHE1057 3,CHE1057
18000339,EVS3245 1,EVS3245
18000339,EVS4071 1,EVS4071
18000339,MAT1101 7,MAT1101
18000339,PHY1100 10,PHY1100
18000339,PHY1103 10,PHY1103
18000380,MAT2407 2,MAT2407
18000380,MAT3452 1,MAT3452
18000380,MAT3539 1,MAT3539
18000389,PHY2304 1,PHY2304
18000398,BIO3182 2CLCCNS,BIO3182 CLCCNS
18000455,CHE1081 2,CHE1081
18000481,MAT3533,MAT3533
18000481,MAT3539 1,MAT3539
18000481,MAT4073,MAT4073
18000511,CHE1057 4,CHE1057
18000511,EVS2301 1,EVS2301
18000511,EVS4071 3,EVS4071
18000511,EVS4073 2,EVS4073
18000511,MAT1101 1,MAT1101
18000511,PHY1100 14,PHY1100
18000521,MAT2407 2,MAT2407
18000521,MAT3300 2,MAT3300
18000521,MAT3533,MAT3533
18000521,POL1001 11,POL1001
18000544,POL1001 2,POL1001
18000567,MAT2502 3CLCMTKHTT,MAT2502 CLCMTKHTT
