classCode,MSVList,numberStudents
BIO3098,"[18002176, 18009984, 18003005, 18003942, 21005403, 18000590, 21007510, 18007985, 17006735, 17007746, 18007724, 18007627, 18002880, 18008445, 18000003, 17000751, 17008194, 18007408, 18003521, 18006622, 18005020, 18008516, 18006923, 18002746, 18008909, 18004983, 18007410, 18005463, 18007034, 18001902]",30
BIO3099,"[18004547, 17004298, 18000757, 17007746, 18005255, 18007279, 18005020, 18007502, 18006923, 18006432, 18002469]",11
BIO3178 1CLCCNS,"[21001243, 21001237, 21009084, 21007956, 21006648, 21005238, 21006336, 21007196, 21009884, 21006735, 21003105, 21003718, 21005511, 21005694, 21001828, 21009373]",16
BIO3178 2CLCCNS,"[21008297, 21005681, 21000830, 21001071, 21008544, 17008415, 21004141, 21008754, 21004555, 18005525, 21005054, 19003223]",12
BIO3178 3CLCCNS,"[21006480, 21003381, 21002632, 21008800, 21006445, 21009188, 21003532, 21005294, 21004702, 21007232, 21000212, 19007405, 20007771]",13
BIO3178 4CLCCNS,"[21008657, 21001950, 21001266, 21007365, 21007831, 21003989, 21003842, 21000515, 21007176, 21001910, 21004003, 21009471, 21006522, 21004168, 17006908, 18006910]",16
BIO3178 5CLCCNS,"[21005657, 21008855, 21008931, 21008452, 21001799, 21001335, 21009476, 21009446, 21006022, 21004032]",10
BIO3178 6CLCCNS,"[21007327, 21006273, 21008510, 21001328, 21004542, 20000254, 21000535, 21009972, 21001787, 21008037, 20000860, 21003770, 21002415, 21008635]",14
BIO3178 7CLCCNS,"[21001495, 21001243, 21000482, 21008723, 21005550, 21005982, 21009663, 21000787, 21002400, 21005133, 21004128, 21003048]",12
BIO3178 8CLCCNS,"[21000842, 21006856, 21003651, 21000170, 21008520, 21007045, 21006058, 21002415, 21006927, 21008273, 21004215, 21005612, 21007402, 21000116, 21000203]",15
BIO3178 9CLCCNS,"[21007056, 21001877, 21002660, 21008162, 21007065, 21001549, 21008511, 21009822, 21002523, 21009364, 21008817, 21009435, 21003669, 21004316, 21002043, 21007991]",16
BIO3182 1CLCCNS,"[20000191, 20004373, 20006501, 20006153, 20009385, 20001945, 20005069, 20002210, 20003623, 20006997, 20000583, 20007768, 20007681, 20000860, 20008663, 20001469, 20002612, 20008800]",18
BIO3182 2CLCCNS,"[20006451, 20004532, 18003248, 18005556, 18004539, 18001615, 18008037, 20007634, 19003347, 17003673, 18000398]",11
BIO3182 3CLCCNS,"[20003556, 20004590, 20003943, 20003918, 20000254, 20009486, 20009918, 20009853, 20001371, 20003366, 20006239, 20005550, 20006980, 20006714, 20005681, 20007327, 20008510]",17
BIO3182 4CLCCNS,"[20009806, 20006732, 20000740, 20002606, 20007885, 20001360, 20001015, 20008032, 20001691, 20004350, 20002176, 20001716, 20008297, 20008657]",14
BIO3182 5CLCCNS,"[20005952, 20001462, 20006852, 20006748, 20000908, 20005334, 20006156, 20004204, 18000595, 20000555, 20004450, 20006480, 20001495, 20006273]",14
BIO3182 6CLCCNS,"[20009674, 20006070, 20007475, 20003041, 20009683, 20002962, 20001108, 20006598, 20006942, 20005603, 20009489]",11
BIO3190,"[20001687, 20006404, 20008989, 20000923, 20007303, 20009308, 20007593, 20002650, 20000691, 20001465, 20002648, 20009725, 20000458, 20004615, 20003565, 20003136, 20008231, 20000792, 20007163, 20005663, 20001426, 20005143, 20001896, 20002183, 20007932, 20003968, 21004090, 21005073, 20000134, 20006989, 20006496, 20009211, 20004165, 20009837, 20009166, 20002553, 20003742, 20004709, 20000448, 20007023, 20004727, 20006186, 20006665, 20007501, 20004560, 20001298, 20008906, 20007461, 20003666, 20003476, 20000137, 20000995, 20006098, 20006975, 20007588, 20004126, 20004644, 20008265, 20001679, 20007579, 20000959, 20006736, 20000394, 20000206, 20005385, 20003300, 20005053, 20004898, 20001801, 20004100, 20005102, 20007178, 20007832, 20008100, 20003876, 21003900, 20000416, 20003057, 20000502, 20003682, 20004645, 20008917, 20006435, 20002478, 20004586, 20004630, 20005461, 20009616, 20006797, 20005795]",90
BIO3191,"[20001687, 20006404, 20008989, 20000923, 20007303, 20009308, 20007593, 20002650, 20000691, 20001465, 20002648, 21003975, 20009725, 20000458, 20004615, 20003565, 20003136, 20008231, 20000792, 20007163, 20005663, 20001426, 20005143, 20001896, 20002183, 20007932, 20003968, 20000134, 20006989, 20006496, 20009211, 20004165, 20009837, 20009166, 20002553, 20003742, 20004709, 20000448, 20007023, 20004727, 20006186, 20006665, 20007501, 20004560, 20001298, 20008906, 20007461, 20003666, 20003476, 20000137, 20000995, 20006098, 20006975, 21009132, 20007588, 20004126, 20004644, 20008265, 20001679, 20007579, 20000959, 20006736, 20000394, 20000206, 20005385, 20003300, 20005053, 20004898, 20001801, 20004100, 20005102, 20007178, 20007832, 20008100, 20003876, 20000416, 20003057, 21005295, 20000502, 20003682, 20004645, 20008917, 20006435, 20002478, 20004586, 20004630, 20005461, 20009616, 20006797, 20005795]",90
BIO3201 1,"[20002943, 21001304, 21001736, 20006236, 21001207, 21008231, 21000833, 21006075, 21006490, 21003673, 21002752, 21005420, 20004071, 21002104, 21004913, 21008590, 21001503, 18002391, 21003951, 20001564, 21009594, 19016181, 20004128, 21000567, 21008934]",25
BIO3201 2,"[21007796, 21001200, 18007401, 20008325, 21005320, 21006580, 21002195, 20002195, 18009314, 19017371, 19017502, 18005857, 20005770, 21003453, 21003873, 19017574, 21006719, 19017642, 21003239, 21001564, 20009432, 20000299, 19015643, 20000903, 21009202]",25
BIO3201 3,"[21000481, 21002953, 20008295, 18005327, 21002361, 21008261, 21005336, 20008166, 21006264, 20005420, 18005982, 21008788, 20009336, 18004654, 18007475, 21005017, 20009663, 21001739, 21004128, 21008152, 21000903, 20008763, 20001739, 20007363, 21003033]",25
