MSV,classCodeList,subjectCodeList
19006596,"['BIO2504 TNS', 'BIO3377 TNS', 'BIO3504 2TNS', 'CHE1048 2CLCCNH', 'CHE1052 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH', 'MAT1101 14', 'PHI1002 11', 'PHY1103 17CLCCNH']","['BIO2504 TNS', 'BIO3377 TNS', 'BIO3504 TNS', 'CHE1048 CLCCNH', 'CHE1052 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH', 'MAT1101', 'PHI1002', 'PHY1103 CLCCNH']"
19006598,"['CHE1084', 'CHE1090', 'MAT1101 7']","['CHE1084', 'CHE1090', 'MAT1101']"
19006599,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1091 2', 'PHY1103 1']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'MAT1091', 'PHY1103']"
19006606,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006607,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']"
19006612,"['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'PHY1108 1', 'PHY2306']","['BIO2405E QTS', 'BIO3227E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'PHY1108', 'PHY2306']"
19006621,"['BIO2088 1', 'BIO2220 2', 'BIO3302 1', 'BIO3303 2', 'BIO3304 2', 'CHE1057 3']","['BIO2088', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304', 'CHE1057']"
19006622,"['MAT2306 2', 'MAT2311', 'MAT2407 1', 'MAT3305', 'MAT3306', 'MAT3347 1', 'PHI1002 3']","['MAT2306', 'MAT2311', 'MAT2407', 'MAT3305', 'MAT3306', 'MAT3347', 'PHI1002']"
19006630,"['MAT1076', 'MAT2407 3TNT', 'MAT3306', 'MAT3347 1', 'PHI1002 10']","['MAT1076', 'MAT2407 TNT', 'MAT3306', 'MAT3347', 'PHI1002']"
19006634,"['MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533']","['MAT2407', 'MAT3452', 'MAT3525', 'MAT3533']"
19006637,"['BIO2088 4', 'BIO2201 1', 'BIO2220 3', 'BIO3302 4', 'BIO3303 4', 'BIO3304 4', 'MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3562E 1CLCMTKHTT']","['BIO2088', 'BIO2201', 'BIO2220', 'BIO3302', 'BIO3303', 'BIO3304', 'MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19006651,"['PHY2302 6', 'PHY3167 2', 'PHY3302']","['PHY2302', 'PHY3167', 'PHY3302']"
19006668,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 1CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19006672,"['GEO2320 2', 'GEO3265', 'GEO3269', 'GEO3270', 'HIS1001 11', 'MAT1192 4']","['GEO2320', 'GEO3265', 'GEO3269', 'GEO3270', 'HIS1001', 'MAT1192']"
19006677,"['CHE1080 5', 'EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'MAT1092 1', 'PHI1002 5']","['CHE1080', 'EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'MAT1092', 'PHI1002']"
19006682,"['HIS1001 3', 'MAT2034', 'MAT2403 2', 'MAT3373', 'MAT3452 1', 'MAT3525']","['HIS1001', 'MAT2034', 'MAT2403', 'MAT3373', 'MAT3452', 'MAT3525']"
19006693,"['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL', 'POL1001 8']","['PHY2064E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL', 'POL1001']"
19006706,"['PHI1002 6', 'PHY3167 2', 'PHY3302']","['PHI1002', 'PHY3167', 'PHY3302']"
19006710,"['MAT2034', 'MAT3373', 'MAT3452 1']","['MAT2034', 'MAT3373', 'MAT3452']"
19006721,"['PHY2304E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']","['PHY2304E QTL', 'PHY2306E QTL', 'PHY3508E QTL', 'PHY3608E QTL']"
19006752,"['CHE1067 2CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19006753,"['E363 TTKHMT', 'E476 TTKHMT', 'K300 TTKHMT', 'PHI1002 5']","['E363 TTKHMT', 'E476 TTKHMT', 'K300 TTKHMT', 'PHI1002']"
19006762,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 3', 'BIO2202 3', 'BIO3252 2', 'HIS1001 1']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO3252', 'HIS1001']"
19006780,"['CHE1079', 'CHE3045', 'CHE3253', 'HIS1001 6']","['CHE1079', 'CHE3045', 'CHE3253', 'HIS1001']"
19006782,"['PHY1108 1', 'PHY2306']","['PHY1108', 'PHY2306']"
19006804,"['PHY3606', 'PHY3608']","['PHY3606', 'PHY3608']"
19006831,"['CHE1079', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001 1']","['CHE1079', 'CHE2021', 'CHE3045', 'CHE3253', 'CHE3254', 'HIS1001']"
19006845,"['CHE1067 2CLCHD', 'CHE2030E 2CLCHD', 'CHE3283 2CLCHD', 'PHI1002 6']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD', 'PHI1002']"
19006848,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533 3CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT']"
19006850,"['CHE1081 7', 'EVS3158', 'EVS3232', 'EVS3287', 'EVS4073 3CLCCNKTMT']","['CHE1081', 'EVS3158', 'EVS3232', 'EVS3287', 'EVS4073 CLCCNKTMT']"
19006852,"['HIS1001 6', 'MAT2403 4CLCMTKHTT', 'MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT']","['HIS1001', 'MAT2403 CLCMTKHTT', 'MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT']"
19006856,"['CHE1075', 'CHE1079', 'CHE2018', 'CHE2021', 'CHE3253', 'CHE3254', 'EVS3158', 'EVS3232', 'EVS3244 2', 'EVS3287', 'EVS4073 1']","['CHE1075', 'CHE1079', 'CHE2018', 'CHE2021', 'CHE3253', 'CHE3254', 'EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073']"
19006876,"['CHE2018', 'CHE2021', 'CHE3253', 'CHE3254', 'MAT1091 1', 'PHI1002 2']","['CHE2018', 'CHE2021', 'CHE3253', 'CHE3254', 'MAT1091', 'PHI1002']"
19006898,"['PHI1002 11', 'PHY3163', 'PHY3508 2', 'PHY3606', 'PHY3608']","['PHI1002', 'PHY3163', 'PHY3508', 'PHY3606', 'PHY3608']"
19006908,"['CHE1081 9', 'EVS3158', 'EVS3232', 'EVS3244 2', 'EVS3287', 'EVS4073 2', 'PHI1002 5', 'POL1001 4']","['CHE1081', 'EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073', 'PHI1002', 'POL1001']"
19006910,"['MAT2034', 'MAT3373', 'MAT3525', 'PHI1002 10']","['MAT2034', 'MAT3373', 'MAT3525', 'PHI1002']"
19006923,"['HIS1001 1', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533']","['HIS1001', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT3533']"
19006930,"['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH']","['CHE2130E TTH', 'CHE2145E TTH', 'CHE3212 TTH']"
19006949,"['BIO2044', 'BIO2045 1', 'BIO2201 1', 'BIO2204 4', 'BIO2206 1', 'CHE1081 6', 'MAT1192 4']","['BIO2044', 'BIO2045', 'BIO2201', 'BIO2204', 'BIO2206', 'CHE1081', 'MAT1192']"
19006950,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'POL1001 12']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS', 'POL1001']"
19006972,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533 3CLCMTKHTT', 'MAT3562E 2CLCMTKHTT']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT']"
19006980,"['CHE1048 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH']","['CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH']"
19007030,"['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254']","['CHE1075', 'CHE3045', 'CHE3253', 'CHE3254']"
19007034,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19007046,"['MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533', 'PHY1100 13', 'POL1001 5']","['MAT2407', 'MAT3452', 'MAT3525', 'MAT3533', 'PHY1100', 'POL1001']"
19007049,"['HIS1001 10', 'HIS1001 9', 'MAT2034', 'MAT2403 2', 'MAT3373', 'MAT3452 1', 'PHY2004', 'PHY3163', 'PHY3508 1', 'PHY3606']","['HIS1001', 'MAT2034', 'MAT2403', 'MAT3373', 'MAT3452', 'PHY2004', 'PHY3163', 'PHY3508', 'PHY3606']"
19007053,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3533']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533']"
19007054,"['PHY3167 2', 'PHY3302']","['PHY3167', 'PHY3302']"
19007060,"['CHE1075', 'CHE1084', 'POL1001 10']","['CHE1075', 'CHE1084', 'POL1001']"
19007079,"['PHY1108 7', 'PHY3167 2', 'PHY3302']","['PHY1108', 'PHY3167', 'PHY3302']"
19007103,"['MAT2034', 'MAT2403 2', 'MAT3373', 'MAT3525', 'MAT3533']","['MAT2034', 'MAT2403', 'MAT3373', 'MAT3525', 'MAT3533']"
19007110,"['BIO2127 2CLCCNS', 'BIO2215E 4CLCCNS', 'BIO2516 4CLCCNS', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'BIO3802E 2CLCCNS']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS']"
19007115,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']"
19007123,"['CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE2030E CLCHD', 'CHE3283 CLCHD']"
19007131,"['CHE1067 2CLCHD', 'CHE2030E 1CLCHD', 'CHE2114E 2CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE2114E CLCHD', 'CHE3283 CLCHD']"
19007154,"['CHE1081 1', 'EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'HIS1001 3', 'PHI1002 10']","['CHE1081', 'EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'HIS1001', 'PHI1002']"
19007155,"['EVS3158', 'EVS3232', 'EVS3244 2', 'EVS3287', 'EVS4073 1', 'PHY1100 12', 'POL1001 4']","['EVS3158', 'EVS3232', 'EVS3244', 'EVS3287', 'EVS4073', 'PHY1100', 'POL1001']"
19007156,"['BIO2127 1CLCCNS', 'BIO2215E 2CLCCNS', 'BIO2516 2CLCCNS', 'BIO2800 2CLCCNS', 'BIO3302E 2CLCCNS', 'BIO3802E 1CLCCNS']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS']"
19007176,"['BIO2044', 'BIO2045 2', 'BIO2092', 'BIO2201 4', 'BIO2203 4', 'BIO3252 2', 'CHE1081 5', 'MAT1090 1', 'MAT1091 1']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2203', 'BIO3252', 'CHE1081', 'MAT1090', 'MAT1091']"
19007179,"['PHY2304 6', 'PHY3508 1', 'PHY3606', 'PHY3608']","['PHY2304', 'PHY3508', 'PHY3606', 'PHY3608']"
19007196,"['MAT2411E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533', 'PHI1002 1']","['MAT2411E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533', 'PHI1002']"
19007201,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2202 2', 'BIO2204 2', 'BIO2206 1', 'CHE1081 1', 'MAT1090 1', 'PHY1100 8']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2202', 'BIO2204', 'BIO2206', 'CHE1081', 'MAT1090', 'PHY1100']"
19007203,"['CHE1048 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH']","['CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH']"
19007234,"['CHE1048 2CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 2CLCCNH', 'CHE3254 2CLCCNH']","['CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3253 CLCCNH', 'CHE3254 CLCCNH']"
19007246,"['EVS2017', 'EVS2109', 'EVS3244 1', 'EVS3248', 'EVS3409', 'POL1001 4']","['EVS2017', 'EVS2109', 'EVS3244', 'EVS3248', 'EVS3409', 'POL1001']"
19007249,"['HIS1001 1', 'MAT2407 2', 'MAT3452 2', 'MAT3525', 'MAT3533']","['HIS1001', 'MAT2407', 'MAT3452', 'MAT3525', 'MAT3533']"
19007254,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3562E 2CLCMTKHTT', 'POL1001 5']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'POL1001']"
19007255,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3500 4CLCMTKHTT', 'MAT3533']","['MAT2411E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3533']"
19007283,"['CHE1067 1CLCHD', 'CHE2030E 1CLCHD', 'CHE3283 1CLCHD']","['CHE1067 CLCHD', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19007285,"['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']","['BIO2089 TNS', 'BIO2504 TNS', 'BIO3257 TNS', 'BIO3377 TNS', 'BIO3701 TNS']"
19007293,['CHE1084'],['CHE1084']
19007301,"['BIO2044', 'BIO2045 1', 'BIO2092', 'BIO2201 3', 'BIO2202 1', 'BIO2206 3', 'BIO3252 2', 'CHE1080 1', 'PHI1002 10']","['BIO2044', 'BIO2045', 'BIO2092', 'BIO2201', 'BIO2202', 'BIO2206', 'BIO3252', 'CHE1080', 'PHI1002']"
19007307,"['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'MAT1091 2']","['GLO3122', 'GLO3158', 'GLO3198', 'GLO3228', 'GLO3229', 'MAT1091']"
19007330,"['CHE1080 4', 'GEO3263', 'GEO3266', 'GEO3304', 'GEO3305', 'HIS1056 1', 'PHI1002 4', 'PHY1100 14']","['CHE1080', 'GEO3263', 'GEO3266', 'GEO3304', 'GEO3305', 'HIS1056', 'PHI1002', 'PHY1100']"
19007336,"['MAT2311 2TNT', 'MAT2318 1', 'MAT3101 TNT', 'MAT3306', 'MAT3318 2TNT', 'MAT3322 TNT', 'MAT3347 2', 'MAT3373', 'MAT3452 1']","['MAT2311 TNT', 'MAT2318', 'MAT3101 TNT', 'MAT3306', 'MAT3318 TNT', 'MAT3322 TNT', 'MAT3347', 'MAT3373', 'MAT3452']"
19007345,"['BIO2127 2CLCCNS', 'BIO2215E 5CLCCNS', 'BIO2516 5CLCCNS', 'BIO2800 5CLCCNS', 'BIO3302E 5CLCCNS', 'BIO3802E 2CLCCNS', 'MAT3373', 'MAT3452 1', 'MAT3539 2', 'PHI1002 1']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'MAT3373', 'MAT3452', 'MAT3539', 'PHI1002']"
19007359,"['BIO2127 1CLCCNS', 'BIO2215E 3CLCCNS', 'BIO2516 2CLCCNS', 'BIO2800 3CLCCNS', 'BIO3302E 3CLCCNS', 'BIO3802E 1CLCCNS', 'PHI1002 1']","['BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS', 'BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'PHI1002']"
19007363,"['BIO2045 1', 'BIO2201 1', 'BIO2202 1', 'BIO2206 1', 'BIO3303 4', 'CHE1081 2', 'PHY1113 2', 'PHY2304 2', 'PHY3606', 'PHY3608']","['BIO2045', 'BIO2201', 'BIO2202', 'BIO2206', 'BIO3303', 'CHE1081', 'PHY1113', 'PHY2304', 'PHY3606', 'PHY3608']"
